,Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
8172,North America,US,Lubbock,13,50.7,10.39
8202,North America,US,Midland Odessa,13,55.2,12.89
8232,North America,US,San Angelo,13,58.2,14.56
8262,North America,US,San Antonio,13,70.6,21.44
8292,North America,US,Waco,13,64.5,18.06
8322,North America,US,Wichita Falls,13,54.7,12.61
8352,North America,US,Salt Lake City,13,43.5,6.39
8382,North America,US,Burlington,13,31.9,-0.06
8412,North America,US,Norfolk,13,50.8,10.44
8442,North America,US,Richmond,13,43.4,6.33
8472,North America,US,Roanoke,13,44.5,6.94
8502,North America,US,Seattle,13,50.4,10.22
8532,North America,US,Spokane,13,40.4,4.67
8562,North America,US,Yakima,13,47.1,8.39
8592,North America,US,Charleston,13,46.2,7.89
8622,North America,US,Elkins,13,42.9,6.06
8652,North America,US,Green Bay,13,32.6,0.33
8682,North America,US,Madison,13,30.0,-1.11
8712,North America,US,Milwaukee,13,36.8,2.67
8742,North America,US,Casper,13,48.1,8.94
8772,North America,US,Cheyenne,13,45.7,7.61
